Source,CH1,CH2
Second,Volt,Volt
-0.00679999938,-16.80000,-0.88000
-0.00676000000,-16.80000,-0.84000
-0.00672000000,-15.60000,-0.88000
-0.00667999938,-16.40000,-0.86000
-0.00664000000,-17.60000,-0.86000
-0.00660000000,-15.20000,-0.82000
-0.00655999938,-16.00000,-0.86000
-0.00652000000,-16.00000,-0.84000
-0.00648000000,-16.80000,-0.84000
-0.00643999938,-16.40000,-0.82000
-0.00640000000,-15.20000,-0.84000
-0.00636000000,-16.00000,-0.86000
-0.00632000000,-16.80000,-0.84000
-0.00628000000,-15.60000,-0.82000
-0.00624000000,-16.80000,-0.82000
-0.00620000000,-16.80000,-0.86000
-0.00616000000,-16.80000,-0.82000
-0.00612000000,-16.00000,-0.84000
-0.00608000000,-15.60000,-0.82000
-0.00604000000,-15.60000,-0.86000
-0.00600000000,-16.00000,-0.86000
-0.00596000000,-16.00000,-0.86000
-0.00592000000,-15.20000,-0.84000
-0.00588000000,-16.00000,-0.90000
-0.00584000000,-15.60000,-0.86000
-0.00580000000,-15.60000,-0.90000
-0.00576000000,-16.80000,-0.88000
-0.00572000000,-16.80000,-0.86000
-0.00568000000,-15.20000,-0.82000
-0.00563999938,-16.80000,-0.84000
-0.00560000000,-17.20000,-0.82000
-0.00556000000,-16.00000,-0.84000
-0.00551999938,-15.60000,-0.86000
-0.00548000000,-16.00000,-0.90000
-0.00544000000,-16.80000,-0.80000
-0.00539999938,-16.40000,-0.86000
-0.00536000000,-17.20000,-0.84000
-0.00532000000,-16.80000,-0.82000
-0.00528000000,-15.60000,-0.84000
-0.00524000000,-16.00000,-0.92000
-0.00520000000,-16.80000,-0.80000
-0.00515999969,-16.00000,-0.84000
-0.00512000000,-16.80000,-0.84000
-0.00508000000,-15.60000,-0.84000
-0.00503999969,-15.60000,-0.78000
-0.00500000000,-16.80000,-0.86000
-0.00496000000,-16.40000,-0.82000
-0.00491999969,-15.60000,-0.82000
-0.00488000000,-16.40000,-0.84000
-0.00484000000,-16.80000,-0.80000
-0.00479999969,-15.60000,-0.80000
-0.00476000000,-16.80000,-0.90000
-0.00472000000,-16.80000,-0.78000
-0.00467999969,-16.80000,-0.84000
-0.00464000000,-15.20000,-0.78000
-0.00460000000,-16.80000,-0.86000
-0.00455999969,-17.20000,-0.86000
-0.00452000000,-16.40000,-0.86000
-0.00448000000,-15.60000,-0.92000
-0.00443999969,-15.20000,-0.88000
-0.00440000000,-16.40000,-0.92000
-0.00435999969,-16.80000,-0.88000
-0.00431999969,-16.00000,-0.84000
-0.00428000000,-16.00000,-0.86000
-0.00423999969,-17.20000,-0.82000
-0.00420000000,-16.40000,-0.90000
-0.00416000000,-16.80000,-0.82000
-0.00411999969,-16.00000,-0.86000
-0.00408000000,-16.80000,-0.82000
-0.00404000000,-16.00000,-0.84000
-0.00399999969,-15.60000,-0.82000
-0.00396000000,-16.40000,-0.84000
-0.00392000000,-16.80000,-0.78000
-0.00388000000,-15.60000,-0.84000
-0.00384000000,-16.40000,-0.80000
-0.00379999969,-16.00000,-0.82000
-0.00376000000,-16.00000,-0.86000
-0.00372000000,-16.00000,-0.86000
-0.00368000000,-17.20000,-0.84000
-0.00364000000,-15.60000,-0.84000
-0.00360000000,-16.00000,-0.84000
-0.00356000000,-16.00000,-0.86000
