Source,CH1,CH2
Second,Volt,Volt
-0.00959999938,-1.20000,-0.10000
-0.00957999938,-1.20000,-0.10000
-0.00956000000,-1.60000,-0.10000
-0.00954000000,-1.60000,-0.10000
-0.00952000000,-1.20000,-0.10000
-0.00950000000,-1.60000,-0.10000
-0.00947999938,-1.20000,-0.10000
-0.00945999938,-1.20000,-0.10000
-0.00944000000,-1.20000,-0.10000
-0.00942000000,-1.20000,-0.10000
-0.00940000000,-1.20000,-0.10000
-0.00938000000,-1.20000,-0.10000
-0.00935999938,-1.20000,-0.08000
-0.00933999938,-1.20000,-0.10000
-0.00932000000,-1.60000,-0.10000
-0.00930000000,-1.20000,-0.08000
-0.00928000000,-1.60000,-0.08000
-0.00926000000,-1.60000,-0.10000
-0.00923999938,-1.60000,-0.10000
-0.00921999938,-1.20000,-0.10000
-0.00920000000,-1.20000,-0.10000
-0.00918000000,-1.60000,-0.10000
-0.00916000000,-1.20000,-0.08000
-0.00914000000,-1.60000,-0.10000
-0.00911999938,-1.60000,-0.10000
-0.00909999938,-1.20000,-0.10000
-0.00908000000,-1.20000,-0.10000
-0.00906000000,-1.60000,-0.10000
-0.00904000000,-1.20000,-0.10000
-0.00902000000,-1.20000,-0.08000
-0.00899999938,-1.60000,-0.10000
-0.00897999938,-1.20000,-0.10000
-0.00896000000,-1.60000,-0.10000
-0.00894000000,-1.60000,-0.10000
-0.00892000000,-1.20000,-0.10000
-0.00890000000,-1.20000,-0.10000
-0.00887999938,-1.60000,-0.10000
-0.00885999938,-1.20000,-0.10000
-0.00883999938,-1.20000,-0.10000
-0.00882000000,-1.60000,-0.10000
-0.00880000000,-1.20000,-0.10000
-0.00878000000,-1.20000,-0.10000
-0.00875999938,-1.60000,-0.10000
-0.00873999938,-1.20000,-0.10000
-0.00871999938,-1.20000,-0.08000
-0.00870000000,-1.20000,-0.10000
-0.00868000000,-1.20000,-0.10000
-0.00866000000,-1.60000,-0.08000
-0.00863999938,-1.60000,-0.10000
-0.00861999938,-1.20000,-0.10000
-0.00859999938,-1.20000,-0.10000
-0.00858000000,-1.20000,-0.10000
