Source,CH1,CH2
Second,Volt,Volt
-0.00379999969,-0.60000,-0.10000
-0.00379000000,-0.60000,-0.08000
-0.00378000000,-0.60000,-0.08000
-0.00376999969,-0.60000,-0.10000
-0.00376000000,-0.60000,-0.10000
-0.00375000000,-0.60000,-0.08000
-0.00373999969,-0.60000,-0.08000
-0.00373000000,-0.60000,-0.10000
-0.00372000000,-0.60000,-0.08000
-0.00371000000,-0.60000,-0.08000
-0.00370000000,-0.60000,-0.08000
-0.00369000000,-0.60000,-0.08000
-0.00368000000,-0.40000,-0.08000
-0.00367000000,-0.60000,-0.08000
-0.00366000000,-0.60000,-0.10000
-0.00365000000,-0.60000,-0.08000
-0.00364000000,-0.40000,-0.08000
-0.00363000000,-0.60000,-0.10000
-0.00362000000,-0.60000,-0.10000
-0.00361000000,-0.60000,-0.08000
-0.00360000000,-0.60000,-0.08000
-0.00359000000,-0.60000,-0.08000
-0.00358000000,-0.40000,-0.10000
-0.00357000000,-0.40000,-0.10000
-0.00356000000,-0.40000,-0.08000
-0.00355000000,-0.60000,-0.08000
-0.00354000000,-0.60000,-0.08000
-0.00353000000,-0.40000,-0.08000
-0.00352000000,-0.60000,-0.08000
-0.00351000000,-0.40000,-0.08000
-0.00350000000,-0.40000,-0.08000
-0.00348999969,-0.40000,-0.10000
-0.00348000000,-0.60000,-0.08000
-0.00347000000,-0.60000,-0.08000
-0.00345999969,-0.60000,-0.08000
-0.00345000000,-0.40000,-0.08000
-0.00344000000,-0.60000,-0.08000
-0.00342999969,-0.40000,-0.08000
-0.00342000000,-0.60000,-0.08000
-0.00341000000,-0.60000,-0.08000
-0.00339999969,-0.40000,-0.10000
-0.00339000000,-0.60000,-0.08000
-0.00338000000,-0.60000,-0.10000
-0.00336999969,-0.40000,-0.08000
-0.00336000000,-0.40000,-0.08000
-0.00335000000,-0.60000,-0.08000
-0.00333999969,-0.60000,-0.08000
-0.00333000000,-0.40000,-0.08000
-0.00332000000,-0.40000,-0.08000
-0.00330999969,-0.60000,-0.08000
-0.00330000000,-0.60000,-0.08000
-0.00329000000,-0.60000,-0.08000
-0.00327999969,-0.60000,-0.08000
-0.00327000000,-0.60000,-0.08000
-0.00326000000,-0.60000,-0.08000
-0.00324999969,-0.40000,-0.08000
-0.00324000000,-0.60000,-0.08000
-0.00323000000,-0.60000,-0.08000
-0.00321999969,-0.40000,-0.08000
-0.00321000000,-0.60000,-0.08000
-0.00320000000,-0.40000,-0.08000
-0.00318999969,-0.60000,-0.08000
-0.00318000000,-0.60000,-0.08000
-0.00317000000,-0.40000,-0.08000
-0.00316000000,-0.60000,-0.08000
-0.00315000000,-0.60000,-0.08000
-0.00314000000,-0.60000,-0.08000
-0.00313000000,-0.60000,-0.10000
-0.00312000000,-0.60000,-0.08000
